ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8
449.5 288.1 272.7 272.4 259.2 232.2 272.4 276.8   
408.0 288.4 272.7 273.0 258.9 232.2 272.4 277.6   
394.2 288.4 273.2 273.5 258.1 231.9 271.9 277.3   
428.0 288.1 273.5 273.2 258.4 232.7 271.9 277.8   
458.7 287.3 272.7 273.0 259.2 232.2 271.9 276.5   
449.0 287.5 273.2 273.5 259.7 232.5 271.9 276.5   
406.6 287.8 273.0 273.8 259.5 232.5 272.4 277.8   
393.4 287.5 272.2 273.0 258.4 231.9 273.2 277.3   
427.7 287.5 272.4 272.2 258.4 231.4 273.2 277.6   
458.7 287.8 273.2 273.0 259.2 231.4 272.7 277.6   
448.5 287.5 274.0 272.7 258.9 232.5 271.4 277.6   
406.4 288.1 273.5 273.2 258.9 232.2 271.1 276.8   
393.9 288.1 272.4 273.2 259.2 231.9 272.4 276.5   
428.0 288.1 273.2 273.2 258.9 231.9 272.7 277.0   
458.7 288.1 273.2 273.2 258.7 230.9 273.0 277.6   
449.3 288.6 273.2 273.2 258.9 230.9 272.7 278.1   
407.7 288.1 272.7 272.7 259.2 230.9 272.2 278.4   
394.5 288.1 273.0 273.2 258.4 232.2 272.4 277.6   
428.0 288.1 272.7 273.2 258.1 231.9 272.4 277.8   
458.7 288.6 272.7 273.8 257.9 232.2 272.2 277.6   
449.0 288.1 273.2 273.8 258.4 232.5 271.4 277.6   
407.7 287.3 273.5 273.2 258.9 231.9 272.4 277.8   
394.2 287.0 273.5 273.2 258.9 231.7 271.9 277.8   
427.7 287.0 273.8 274.0 258.7 231.7 271.6 277.8   
459.0 287.5 273.8 273.8 258.4 231.9 272.7 276.5   
449.5 288.6 273.8 274.3 258.4 231.9 272.4 277.3   
407.4 287.5 273.8 273.2 258.7 231.7 271.1 277.8   
393.7 288.1 273.2 273.2 259.2 232.2 272.2 277.0   
427.4 288.6 273.2 273.2 258.4 231.4 272.4 276.8   
458.2 288.6 273.2 274.0 258.7 231.4 271.6 278.1   
447.9 288.4 273.2 274.0 258.7 231.9 271.6 278.1   
406.1 288.1 273.8 273.2 259.2 233.3 272.4 277.8   
393.1 287.8 273.5 273.5 259.2 232.5 272.4 277.3   
427.4 287.3 273.5 273.5 258.9 231.4 273.5 276.8   
458.7 287.8 273.2 272.7 259.7 231.4 272.4 276.8   
449.0 287.3 273.2 273.0 259.2 232.2 272.7 276.5   
408.2 287.8 273.5 273.8 259.2 231.7 272.4 277.0   
394.2 287.5 273.8 272.7 260.3 231.4 270.5 277.3   
426.9 288.1 273.8 272.7 259.5 231.9 271.1 277.3   
459.0 288.1 273.2 273.2 259.7 232.2 271.6 277.8   
449.5 288.1 273.2 272.7 259.2 231.7 271.9 277.8   
408.2 288.6 273.5 272.4 258.9 231.4 272.2 277.3   
394.5 288.9 273.2 274.0 257.3 231.4 272.7 277.8   
427.7 287.8 273.8 273.2 257.6 231.4 270.8 277.0   
458.5 287.5 273.2 273.2 258.4 231.9 271.6 277.8   
449.5 288.1 273.2 273.2 258.1 231.4 271.6 277.6   
407.7 288.1 273.8 272.4 258.4 232.2 271.9 276.2   
394.2 286.7 273.8 272.7 258.9 231.9 272.4 276.8   
427.7 287.5 273.2 273.2 258.1 231.9 271.9 276.5   
459.0 287.8 273.2 273.8 258.9 231.9 272.4 277.8   
449.3 288.4 272.4 273.5 259.2 231.4 272.4 276.8   
408.0 288.6 273.0 272.7 258.9 231.9 272.4 276.5   
395.8 288.1 272.7 274.0 259.5 231.9 272.4 277.3   
428.5 288.4 272.7 273.5 258.9 232.2 271.9 277.3   
459.5 287.8 273.2 273.2 259.2 231.9 272.4 276.8   
449.5 288.6 273.5 273.2 259.2 231.4 271.4 277.0   
407.7 288.6 273.2 273.2 258.4 232.2 271.9 276.5   
393.9 287.8 273.8 273.0 258.9 232.7 272.2 276.8   
458.5 287.5 273.2 273.0 258.1 231.9 273.8 276.8   
449.0 288.1 272.7 273.2 258.4 232.2 272.7 277.6   
407.7 288.1 274.0 273.8 258.7 231.4 271.9 276.8   
394.2 288.1 274.0 274.0 258.9 231.4 272.4 277.3   
427.1 288.6 273.8 273.2 258.7 232.2 272.2 276.8   
459.3 287.5 273.2 272.4 258.9 233.0 272.4 277.0   
450.1 287.5 273.2 273.0 258.9 231.4 272.7 277.0   
408.0 288.4 273.2 273.2 258.9 231.4 273.0 276.8   
393.9 288.9 274.0 274.0 259.2 232.5 273.0 276.8   
427.4 287.5 273.8 274.0 258.4 231.9 272.7 277.0   
459.0 287.8 272.7 273.8 258.4 232.2 272.4 276.8   
450.1 288.4 273.2 273.2 258.1 232.2 272.7 276.5   
408.2 287.8 274.0 273.8 258.1 231.9 272.7 276.5   
393.9 288.1 273.8 273.5 259.2 232.2 271.4 277.0   
427.7 288.1 273.8 273.2 259.2 231.9 271.9 276.8   
460.1 287.3 273.8 273.8 258.9 231.4 271.6 277.0   
450.1 287.3 272.7 273.2 258.7 231.4 272.2 276.5   
408.5 287.3 273.2 273.5 258.1 231.7 272.7 276.8   
393.7 287.5 273.0 273.5 257.6 231.4 272.4 277.3   
426.6 287.8 273.2 273.2 258.4 232.5 271.9 277.8   
458.2 288.6 273.8 273.2 258.9 232.2 271.9 277.6   
449.3 288.6 273.5 273.2 259.2 231.7 271.1 277.3   
408.2 288.1 273.8 273.8 258.9 231.9 272.4 277.3   
394.5 288.6 273.0 273.8 257.6 231.7 271.6 277.8   
426.6 288.4 273.2 273.2 258.4 230.9 272.4 278.1   
458.7 287.5 272.7 273.2 258.7 232.2 272.7 276.8   
450.1 287.8 273.0 273.5 258.9 232.5 272.2 277.6   
408.2 288.4 273.2 273.0 258.9 232.2 273.0 277.3   
393.7 288.4 273.2 273.8 258.7 231.9 272.7 278.1   
426.6 287.8 273.0 274.3 258.9 232.2 272.4 277.3   
