ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8
23899.1 2951.1 36442.2 38418.6 12414.9 3759.5 31001.4 52775.3   
23917.7 3048.0 36463.8 38344.3 12448.1 3726.3 31032.4 52223.4   
23984.9 3148.2 36525.1 39002.6 12520.4 3601.3 31103.2 53175.1   
24016.8 3183.3 36551.5 39602.8 12548.5 3473.0 31133.2 54514.6   
23960.3 3061.0 36494.8 39256.9 12475.6 3549.7 31061.9 54321.3   
23895.0 2955.1 36435.7 38443.9 12406.8 3757.9 30991.7 52818.5   
23912.6 3046.7 36458.6 38335.9 12437.5 3733.8 31020.6 52209.6   
23981.7 3146.0 36522.9 38970.2 12513.7 3607.5 31094.0 53114.1   
24019.5 3182.8 36554.2 39585.0 12548.5 3475.7 31129.4 54473.9   
23967.6 3061.5 36501.6 39279.3 12484.0 3543.2 31067.6 54355.9   
23901.5 2950.8 36440.0 38466.1 12417.0 3755.2 31001.1 52868.7   
23919.6 3037.5 36461.1 38321.1 12449.7 3741.4 31031.4 52204.0   
23986.3 3136.9 36521.8 38927.2 12519.4 3615.8 31098.1 53059.1   
24018.1 3180.6 36553.4 39562.6 12548.8 3480.6 31129.4 54436.1   
23964.9 3069.1 36501.0 39303.9 12481.0 3538.6 31066.2 54391.2   
23896.6 2956.5 36436.5 38493.1 12409.7 3751.9 30994.9 52922.4   
23906.3 3041.0 36451.1 38318.7 12433.2 3747.9 31015.7 52199.9   
23973.6 3142.8 36512.1 38907.0 12506.4 3622.3 31088.1 53006.9   
24016.2 3187.9 36551.5 39558.2 12548.5 3483.0 31130.2 54396.9   
23973.0 3077.7 36506.4 39329.6 12491.0 3528.4 31075.9 54422.6   
23902.0 2957.6 36438.4 38514.7 12414.3 3744.1 31000.1 52974.5   
23907.2 3035.9 36448.4 38310.0 12434.3 3752.7 31015.7 52199.6   
23972.2 3140.1 36507.5 38878.6 12504.8 3628.0 31085.9 52954.8   
24011.6 3192.2 36545.6 39542.6 12543.1 3486.0 31124.5 54352.6   
23970.1 3091.0 36501.8 39353.6 12486.7 3523.2 31073.2 54448.2   
23903.6 2964.3 36436.8 38547.1 12417.6 3739.8 31004.9 53024.5   
23908.2 3034.5 36447.0 38307.9 12435.7 3757.3 31019.8 52196.9   
23972.8 3138.8 36506.2 38850.8 12505.0 3631.2 31086.7 52903.5   
24013.3 3192.2 36545.0 39530.4 12546.6 3488.9 31128.8 54312.7   
23971.7 3095.3 36502.9 39381.4 12492.4 3520.0 31077.8 54476.6   
23905.5 2965.9 36438.7 38576.8 12419.2 3734.9 31007.3 53076.9   
23908.8 3029.7 36447.6 38304.1 12437.8 3762.2 31022.5 52197.5   
23970.9 3134.7 36504.3 38824.1 12505.9 3638.8 31088.6 52853.9   
24013.5 3193.0 36546.1 39511.8 12545.3 3495.1 31129.4 54264.1   
23970.6 3106.4 36501.0 39403.8 12482.6 3511.1 31071.1 54500.9   
23897.7 2977.8 36432.2 38615.1 12403.5 3723.6 30990.9 53138.2   
23897.2 3035.9 36437.6 38309.2 12419.2 3763.0 31002.8 52205.3   
